event_id,pion_id,pion_mass
5.000000,0.000000,89.000241
6.000000,0.000000,63.473397
11.000000,0.000000,103.976809
12.000000,0.000000,106.582197
15.000000,0.000000,114.459421
18.000000,0.000000,683.400525
21.000000,0.000000,102.467796
31.000000,0.000000,123.655339
32.000000,0.000000,110.860928
35.000000,0.000000,33.429398
36.000000,0.000000,67.957611
37.000000,0.000000,101.794797
41.000000,0.000000,108.620820
45.000000,0.000000,107.344514
50.000000,0.000000,86.062989
51.000000,0.000000,48.490341
54.000000,0.000000,38.478505
60.000000,0.000000,110.262775
63.000000,0.000000,99.077320
64.000000,0.000000,103.670709
65.000000,0.000000,103.133911
66.000000,0.000000,108.158265
73.000000,0.000000,85.833062
73.000000,1.000000,311.269529
78.000000,0.000000,113.489357
85.000000,0.000000,348.138308
88.000000,0.000000,109.536587
89.000000,0.000000,102.674175
94.000000,0.000000,24.927078
97.000000,0.000000,104.108277
99.000000,0.000000,72.085186
106.000000,0.000000,124.561756
108.000000,0.000000,114.730357
109.000000,0.000000,98.314891
111.000000,0.000000,106.674798
115.000000,0.000000,112.569497
122.000000,0.000000,120.086331
123.000000,0.000000,272.863168
124.000000,0.000000,110.931137
126.000000,0.000000,29.071298
134.000000,0.000000,106.854677
136.000000,0.000000,133.171608
137.000000,0.000000,108.925862
149.000000,0.000000,76.072386
150.000000,0.000000,107.534080
156.000000,0.000000,67.721821
163.000000,0.000000,107.950659
165.000000,0.000000,108.757427
168.000000,0.000000,111.346015
171.000000,0.000000,106.422916
175.000000,0.000000,93.307580
177.000000,0.000000,79.568361
178.000000,0.000000,97.664801
181.000000,0.000000,110.921531
182.000000,0.000000,118.582680
184.000000,0.000000,100.550061
186.000000,0.000000,47.295955
187.000000,0.000000,78.231371
191.000000,0.000000,115.650851
192.000000,0.000000,109.857448
194.000000,0.000000,57.976606
195.000000,0.000000,110.453429
199.000000,0.000000,91.785418
201.000000,0.000000,110.204052
205.000000,0.000000,94.092391
209.000000,0.000000,254.321265
210.000000,0.000000,117.939416
215.000000,0.000000,113.299345
216.000000,0.000000,104.555313
221.000000,0.000000,104.165707
229.000000,0.000000,68.822023
230.000000,0.000000,104.262838
231.000000,0.000000,130.158708
233.000000,0.000000,103.570017
236.000000,0.000000,116.849137
244.000000,0.000000,88.976742
246.000000,0.000000,110.939621
247.000000,0.000000,117.997479
249.000000,0.000000,103.691317
252.000000,0.000000,105.857579
257.000000,0.000000,106.276697
259.000000,0.000000,491.645458
262.000000,0.000000,104.714296
265.000000,0.000000,94.217558
267.000000,0.000000,108.927474
273.000000,0.000000,105.714623
279.000000,0.000000,86.503842
285.000000,0.000000,85.861579
291.000000,0.000000,66.756849
293.000000,0.000000,108.566506
294.000000,0.000000,114.011989
298.000000,0.000000,82.764922
302.000000,0.000000,51.084967
304.000000,0.000000,117.297685
313.000000,0.000000,114.994815
314.000000,0.000000,99.935006
319.000000,0.000000,125.414840
320.000000,0.000000,106.603902
322.000000,0.000000,112.213848
324.000000,0.000000,108.189117
325.000000,0.000000,78.975327
326.000000,0.000000,113.645944
331.000000,0.000000,405.436477
334.000000,0.000000,116.000020
335.000000,0.000000,91.532284
339.000000,0.000000,109.000012
345.000000,0.000000,121.154786
348.000000,0.000000,111.309725
351.000000,0.000000,49.527486
355.000000,0.000000,203.724467
362.000000,0.000000,104.271125
364.000000,0.000000,78.643593
365.000000,0.000000,109.510048
369.000000,0.000000,99.012585
374.000000,0.000000,106.399653
376.000000,0.000000,113.246072
382.000000,0.000000,103.348094
386.000000,0.000000,87.941906
387.000000,0.000000,95.273137
389.000000,0.000000,71.390807
390.000000,0.000000,112.819664
393.000000,0.000000,98.803298
395.000000,0.000000,95.991343
395.000000,1.000000,99.872757
398.000000,0.000000,105.821662
400.000000,0.000000,116.223163
405.000000,0.000000,74.703582
409.000000,0.000000,109.092461
410.000000,0.000000,103.449983
415.000000,0.000000,111.496045
421.000000,0.000000,115.442856
423.000000,0.000000,376.550901
424.000000,0.000000,98.858893
426.000000,0.000000,116.091178
432.000000,0.000000,73.443666
435.000000,0.000000,68.822014
437.000000,0.000000,121.146502
438.000000,0.000000,106.931444
440.000000,0.000000,112.230622
441.000000,0.000000,99.094606
443.000000,0.000000,80.040659
445.000000,0.000000,111.772172
446.000000,0.000000,116.979786
447.000000,0.000000,92.326136
449.000000,0.000000,107.856618
452.000000,0.000000,13.197852
455.000000,0.000000,68.955505
457.000000,0.000000,51.042053
462.000000,0.000000,100.946810
465.000000,0.000000,104.893010
471.000000,0.000000,101.407871
476.000000,0.000000,108.471349
477.000000,0.000000,107.149992
479.000000,0.000000,57.256897
480.000000,0.000000,104.630444
481.000000,0.000000,96.235547
484.000000,0.000000,107.972594
